[ID Trabajador ,  Nombre ,  Apellido P. ,  Apellido M. ,  Antiguedad ,  Calle ,  Colonia ,  Municipio ,  Proyectos Vigentes , null, null,  Proyectos Historicos , null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[1, nom, ape, ape, 2, ca, col, mun, P, null, null, P, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[2, Maria Jose, Gomez, Gutierrez, 31, "Madero No 15",Tamazunchale Centro,Tamazunchale, Magic Leap - Un Revolucionario Gadget de Realidad Mixta, null, null, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, CycleWash - Una Innovadora Lavadora para Bicicletas, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, O Wind - La Turbina que te Permite Generar Electricidad, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Mirror - El Gimnasio que cabe en un Espejo, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, O Wind - La Turbina que te Permite Generar Electricidad, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Cafe X - Una Cafeteria Completamente Automatizada, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Time Off - El Reloj que elimina la Ansiedad digital, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, null, null, null, null, null, null, null]
[3, Santiago, Martinez, Martinez, 22, Morelos No 183,San Diego,Tlapa de Comonfort, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, null, null, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Creator - El Robot que Fabrica Hamburguesas, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Time Off - El Reloj que elimina la Ansiedad digital, Cafe X - Una Cafeteria Completamente Automatizada, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Nuro - El Vehiculo que Entregara tus Compras, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, PAL-V - El Auto Urbano que Vuela, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Time Off - El Reloj que elimina la Ansiedad digital, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Base - Una Cabina para Transportar a tu Mascota, Base - Una Cabina para Transportar a tu Mascota, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[4, Camila, Torres, Jimenez, 38, 55 No s/n,Santa Cruz Meyehualco,Iztapalapa, Virtual Tours - Una Agencia de Turismo Virtual, Virtual Tours - Una Agencia de Turismo Virtual, null, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Urban Rigger - Residencias Flotantes para Estudiantes, Urban Rigger - Residencias Flotantes para Estudiantes, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Base - Una Cabina para Transportar a tu Mascota, Time Off - El Reloj que elimina la Ansiedad digital, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[5, Matias, Navarro, Romero, 28, San Jose No 6,Cosolapa Centro,Cosolapa, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, null, null, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Creator - El Robot que Fabrica Hamburguesas, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Nuro - El Vehiculo que Entregara tus Compras, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Time Off - El Reloj que elimina la Ansiedad digital, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, CycleWash - Una Innovadora Lavadora para Bicicletas, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Creator - El Robot que Fabrica Hamburguesas, null, null, null, null, null, null]
[6, Daniel, Perez, Lopez, 1, Jorge Pasquel No 300,El Naranjo,El Naranjo, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, Virtual Tours - Una Agencia de Turismo Virtual, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Creator - El Robot que Fabrica Hamburguesas, Base - Una Cabina para Transportar a tu Mascota, Urban Rigger - Residencias Flotantes para Estudiantes, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[7, Regina, Gutierrez, Diaz, 21, Azcapotzalco No 753 Bis,Los Reyes,Azcapotzalco, Magic Leap - Un Revolucionario Gadget de Realidad Mixta, Virtual Tours - Una Agencia de Turismo Virtual, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Nuro - El Vehiculo que Entregara tus Compras, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Time Off - El Reloj que elimina la Ansiedad digital, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Creator - El Robot que Fabrica Hamburguesas, Urban Rigger - Residencias Flotantes para Estudiantes, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Urban Rigger - Residencias Flotantes para Estudiantes, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Nuro - El Vehiculo que Entregara tus Compras, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Nuro - El Vehiculo que Entregara tus Compras, Infarm - Una Granja Techada, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Nuro - El Vehiculo que Entregara tus Compras, Cafe X - Una Cafeteria Completamente Automatizada, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, null, null, null, null, null, null, null, null, null]
[8, Camila, Torres, Munoz, 23, Nte 45 No 948,Industrial Vallejo,Azcapotzalco, Bandi - El Robot que se Convertira en tu Guia Turistico, Magic Leap - Un Revolucionario Gadget de Realidad Mixta, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Nuro - El Vehiculo que Entregara tus Compras, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Cafe X - Una Cafeteria Completamente Automatizada, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Time Off - El Reloj que elimina la Ansiedad digital, Infarm - Una Granja Techada, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Cafe X - Una Cafeteria Completamente Automatizada, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, PAL-V - El Auto Urbano que Vuela, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Piestro - El Robot que Prepara Pizzas en 3 Minutos, O Wind - La Turbina que te Permite Generar Electricidad, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Mirror - El Gimnasio que cabe en un Espejo, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, null, null, null, null]
[9, Alexander, Gonzalez, Perez, 4, Emilio de la Fuente Entre Obregon e Hgo. No 29,Venecia,Jose Azueta, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, Virtual Tours - Una Agencia de Turismo Virtual, SafetyNet - La Red que Salvara a Millones de Peces, Mirror - El Gimnasio que cabe en un Espejo, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Cafe X - Una Cafeteria Completamente Automatizada, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, O Wind - La Turbina que te Permite Generar Electricidad, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, CycleWash - Una Innovadora Lavadora para Bicicletas, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Urban Rigger - Residencias Flotantes para Estudiantes, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Base - Una Cabina para Transportar a tu Mascota, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Mirror - El Gimnasio que cabe en un Espejo, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Cafe X - Una Cafeteria Completamente Automatizada, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Base - Una Cabina para Transportar a tu Mascota, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Mirror - El Gimnasio que cabe en un Espejo, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, null, null]
[10, Regina, Gutierrez, Navarro, 19, Gonzales Gallo No 3000,El Mirador Alamo,Guadalajara, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, null, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Twinkind - La Startup que te Inmortaliza en una Estatuilla, CycleWash - Una Innovadora Lavadora para Bicicletas, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, PAL-V - El Auto Urbano que Vuela, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Base - Una Cabina para Transportar a tu Mascota, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Cafe X - Una Cafeteria Completamente Automatizada, Nuro - El Vehiculo que Entregara tus Compras, Infarm - Una Granja Techada, Base - Una Cabina para Transportar a tu Mascota, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Infarm - Una Granja Techada, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Nuro - El Vehiculo que Entregara tus Compras, Cafe X - Una Cafeteria Completamente Automatizada, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[11, Valeria, Sanchez, Martinez, 22, Emilio de la Fuente Entre Obregon e Hgo. No 29,Venecia,Jose Azueta, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, null, null, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Base - Una Cabina para Transportar a tu Mascota, Cafe X - Una Cafeteria Completamente Automatizada, Base - Una Cabina para Transportar a tu Mascota, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Nuro - El Vehiculo que Entregara tus Compras, Urban Rigger - Residencias Flotantes para Estudiantes, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
